+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| CUUR0000SA0 | 2024 |  M12   | 315.605 |           |
| CUUR0000SA0 | 2024 |  M11   | 315.493 |           |
| CUUR0000SA0 | 2024 |  M10   | 315.664 |           |
| CUUR0000SA0 | 2024 |  M09   | 315.301 |           |
| CUUR0000SA0 | 2024 |  M08   | 314.796 |           |
| CUUR0000SA0 | 2024 |  M07   | 314.540 |           |
| CUUR0000SA0 | 2024 |  M06   | 314.175 |           |
| CUUR0000SA0 | 2024 |  M05   | 314.069 |           |
| CUUR0000SA0 | 2024 |  M04   | 313.548 |           |
| CUUR0000SA0 | 2024 |  M03   | 312.332 |           |
| CUUR0000SA0 | 2024 |  M02   | 310.326 |           |
| CUUR0000SA0 | 2024 |  M01   | 308.417 |           |
| CUUR0000SA0 | 2023 |  M12   | 306.746 |           |
| CUUR0000SA0 | 2023 |  M11   | 307.051 |           |
| CUUR0000SA0 | 2023 |  M10   | 307.671 |           |
| CUUR0000SA0 | 2023 |  M09   | 307.789 |           |
| CUUR0000SA0 | 2023 |  M08   | 307.026 |           |
| CUUR0000SA0 | 2023 |  M07   | 305.691 |           |
| CUUR0000SA0 | 2023 |  M06   | 305.109 |           |
| CUUR0000SA0 | 2023 |  M05   | 304.127 |           |
| CUUR0000SA0 | 2023 |  M04   | 303.363 |           |
| CUUR0000SA0 | 2023 |  M03   | 301.836 |           |
| CUUR0000SA0 | 2023 |  M02   | 300.840 |           |
| CUUR0000SA0 | 2023 |  M01   | 299.170 |           |
| CUUR0000SA0 | 2022 |  M12   | 296.797 |           |
| CUUR0000SA0 | 2022 |  M11   | 297.711 |           |
| CUUR0000SA0 | 2022 |  M10   | 298.012 |           |
| CUUR0000SA0 | 2022 |  M09   | 296.808 |           |
| CUUR0000SA0 | 2022 |  M08   | 296.171 |           |
| CUUR0000SA0 | 2022 |  M07   | 296.276 |           |
| CUUR0000SA0 | 2022 |  M06   | 296.311 |           |
| CUUR0000SA0 | 2022 |  M05   | 292.296 |           |
| CUUR0000SA0 | 2022 |  M04   | 289.109 |           |
| CUUR0000SA0 | 2022 |  M03   | 287.504 |           |
| CUUR0000SA0 | 2022 |  M02   | 283.716 |           |
| CUUR0000SA0 | 2022 |  M01   | 281.148 |           |
+-------------+------+--------+---------+-----------+
