+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| SUUR0000SA0 | 2024 |  M12   | 175.219 |           |
| SUUR0000SA0 | 2024 |  M11   | 175.180 |           |
| SUUR0000SA0 | 2024 |  M10   | 175.346 |           |
| SUUR0000SA0 | 2024 |  M09   | 175.099 |           |
| SUUR0000SA0 | 2024 |  M08   | 174.848 |           |
| SUUR0000SA0 | 2024 |  M07   | 174.792 |           |
| SUUR0000SA0 | 2024 |  M06   | 174.721 |           |
| SUUR0000SA0 | 2024 |  M05   | 174.685 |           |
| SUUR0000SA0 | 2024 |  M04   | 174.424 |           |
| SUUR0000SA0 | 2024 |  M03   | 173.796 |           |
| SUUR0000SA0 | 2024 |  M02   | 172.700 |           |
| SUUR0000SA0 | 2024 |  M01   | 171.649 |           |
| SUUR0000SA0 | 2023 |  M12   | 170.718 |           |
| SUUR0000SA0 | 2023 |  M11   | 170.946 |           |
| SUUR0000SA0 | 2023 |  M10   | 171.421 |           |
| SUUR0000SA0 | 2023 |  M09   | 171.490 |           |
| SUUR0000SA0 | 2023 |  M08   | 171.128 |           |
| SUUR0000SA0 | 2023 |  M07   | 170.461 |           |
| SUUR0000SA0 | 2023 |  M06   | 170.303 |           |
| SUUR0000SA0 | 2023 |  M05   | 169.774 |           |
| SUUR0000SA0 | 2023 |  M04   | 169.376 |           |
| SUUR0000SA0 | 2023 |  M03   | 168.501 |           |
| SUUR0000SA0 | 2023 |  M02   | 168.069 |           |
| SUUR0000SA0 | 2023 |  M01   | 167.267 |           |
| SUUR0000SA0 | 2022 |  M12   | 165.974 |           |
| SUUR0000SA0 | 2022 |  M11   | 166.498 |           |
| SUUR0000SA0 | 2022 |  M10   | 166.609 |           |
| SUUR0000SA0 | 2022 |  M09   | 165.845 |           |
| SUUR0000SA0 | 2022 |  M08   | 165.389 |           |
| SUUR0000SA0 | 2022 |  M07   | 165.495 |           |
| SUUR0000SA0 | 2022 |  M06   | 165.553 |           |
| SUUR0000SA0 | 2022 |  M05   | 163.615 |           |
| SUUR0000SA0 | 2022 |  M04   | 161.787 |           |
| SUUR0000SA0 | 2022 |  M03   | 160.835 |           |
| SUUR0000SA0 | 2022 |  M02   | 158.617 |           |
| SUUR0000SA0 | 2022 |  M01   | 157.178 |           |
+-------------+------+--------+---------+-----------+
